sex,age,income,wt,ht,bmi,waist
male,80,55000,84.5,177.2,26.91,111.5
male,34,10000,66.4,171.9,22.47,79.4
male,31,25000,94.5,168.3,33.36,107
male,40,100000,117.4,175,38.33,120.1
female,45,25000,76.6,160,29.92,106.5
female,60,10000,89.6,154.6,37.49,113.5
female,27,20000,71.5,159.4,28.14,89.6
female,18,55000,57.4,168,20.34,74.2
male,38,20000,86.8,175.1,28.31,95.7
female,29,0,78.9,166.5,28.46,95.2
female,63,100000,67.9,165.7,24.73,84.2
male,74,45000,88.6,177.2,28.22,108.4
female,60,20000,69.5,151.7,30.2,103.2
male,62,0,81.2,168.2,28.7,100.2
male,62,10000,88.1,179.1,27.47,106.1
male,39,65000,79.4,171.9,26.87,101.6
male,54,20000,114.7,186.2,33.08,116.5
female,45,55000,125.5,168.5,44.2,123.2
male,53,0,73.6,175.7,23.84,85.9
male,46,100000,134.4,182.5,40.35,137.5
male,22,0,74.7,176.6,23.95,77.5
male,27,45000,69.7,176,22.5,81
female,50,25000,44.1,163.2,16.56,69.2
female,25,5000,129.3,178.4,40.63,127.4
female,50,100000,67.2,164.1,24.95,93.6
female,15,35000,43.6,155.6,18.01,71.2
male,16,55000,119.4,177,38.11,113.3
female,30,35000,98.6,173.5,32.76,99.6
female,31,100000,49.4,159.9,19.32,72.6
male,33,45000,101.1,197.4,25.95,101.9
female,26,25000,66,161.3,25.37,86.8
female,80,20000,93,148.4,42.23,
male,19,0,62.2,170.7,21.35,67
female,80,15000,52,153.6,22.04,78.5
male,59,20000,71.8,180.3,22.09,86.5
male,63,20000,78.2,181.7,23.69,102.3
female,62,75000,76.2,170.1,26.34,93.6
female,44,20000,69.7,149,31.39,96.7
male,47,0,76.2,168.3,26.9,102.1
male,17,20000,94.6,187.4,26.94,103.1
male,29,< 20000,93.1,159.7,36.5,112.5
male,15,5000,89.4,172.7,29.97,103.2
male,20,5000,65.3,173.9,21.59,73.5
female,40,10000,113.8,154.1,47.92,138.4
female,32,20000,106.9,163,40.23,107.9
female,46,10000,76.3,157.7,30.68,105.6
female,13,15000,57.1,153.7,24.17,78
female,71,35000,67.1,159,26.54,90.4
male,15,55000,56.2,173.9,18.58,70.5
male,25,35000,97.7,184.9,28.58,97.3
male,30,65000,103.1,173.3,34.33,111.4
male,44,10000,89.4,157.1,36.22,112.9
male,76,25000,63.3,171.2,21.6,82.3
female,67,65000,68.8,162.4,26.09,98.7
female,29,35000,75.6,174.3,24.88,90.5
male,73,10000,113.3,177.7,35.88,126
female,67,65000,91.7,163.7,34.22,118.8
female,76,55000,52.3,156.3,21.41,85.5
male,30,15000,98.3,183.6,29.16,101.4
male,13,25000,38.9,150.1,17.27,63.7
female,73,,65.9,146.3,30.79,99.9
male,18,45000,74.3,163.7,27.73,95.3
male,38,45000,108.2,177.7,34.27,128.2
male,65,100000,98,176,31.64,105.6
male,80,25000,78.4,174.1,25.87,110.5
male,76,35000,68,168.7,23.89,91.3
female,56,10000,75,144.4,35.97,102.6
female,14,35000,43.5,153.1,18.56,66.5
female,17,,57.1,160.9,22.06,
female,13,100000,70,154.3,29.4,90
male,34,100000,105.1,194.2,27.87,106.8
male,35,10000,68.4,186.9,19.58,79.5
female,13,20000,50.4,160.8,19.49,74
female,15,75000,54.4,154.8,22.7,86.7
male,48,100000,89.3,166,32.41,103
female,18,25000,64.7,157.5,26.08,86.2
male,61,65000,121,176.2,38.97,120.8
female,14,15000,62.8,160,24.53,86
female,41,55000,87.5,164.8,32.22,89
female,64,100000,110.2,166.3,39.85,117.7
female,52,20000,76.3,152.8,32.68,104
female,15,65000,66,158.3,26.34,79.6
female,74,25000,64.9,162,24.73,92.4
male,36,20000,70.9,169.1,24.79,91.8
male,61,< 20000,91.1,164.1,33.83,112.2
female,79,10000,59.7,151.8,25.91,97.9
male,18,35000,48.6,150.4,21.49,73
female,76,35000,91.2,156,37.48,117.5
female,68,45000,55.6,148.3,25.28,89.2
male,56,25000,86.2,171.5,29.31,104.4
female,16,15000,66.5,168.3,23.48,79.5
male,31,,75.3,153,32.17,101
male,63,20000,95.8,167.7,34.06,114.1
female,48,45000,54.4,163.7,20.3,79.4
female,23,0,49.8,158.4,19.85,72.1
female,57,,53.2,164.9,19.56,74.7
male,24,65000,98.5,173.4,32.76,112.2
female,65,25000,104.3,152.8,44.67,134.3
male,73,100000,97.8,177.3,31.11,119.1
male,49,0,67.7,163.2,25.42,92.7
male,80,35000,76.2,163.2,28.61,102.6
male,57,10000,103.4,185.6,30.02,112.4
male,52,20000,109.4,183.1,32.63,113.5
female,72,10000,106.4,159.7,41.72,
male,71,35000,99.3,178.7,31.1,108.5
male,70,25000,131.3,169.6,45.65,138.3
female,20,25000,74,162.2,28.13,93.2
male,66,100000,103.7,190.7,28.52,110.1
male,14,75000,49,166.9,17.59,67
male,79,45000,76,187.4,21.64,95
male,57,20000,66.3,160.6,25.71,92.9
female,80,25000,69.6,154.8,29.04,90.7
female,17,10000,51.7,153.7,21.88,67.7
female,53,65000,100.7,165.9,36.59,120.7
male,80,15000,94.9,168.6,33.38,119.5
male,65,0,91.6,180,28.27,111.4
male,57,55000,87.2,177.2,27.77,99.9
male,15,< 20000,50.8,174.3,16.72,64.1
female,30,10000,60.6,171.4,20.63,81.6
male,16,15000,50.8,164.5,18.77,67.8
male,67,55000,112.8,182.8,33.76,122.9
female,80,10000,81.2,155,33.8,106.3
male,54,15000,130.6,179.8,40.4,126.1
male,54,45000,108.4,175.1,35.36,120.1
female,72,55000,95.5,164.7,35.21,110.5
male,50,45000,105.4,177.9,33.3,118.1
female,24,5000,90.5,161,34.91,109
female,49,25000,45.3,148.9,20.43,76.5
female,61,20000,69.8,155.8,28.76,97
male,77,75000,94.1,183.8,27.85,106.4
male,80,55000,92.7,176.8,29.66,108.8
male,57,5000,75.9,160.5,29.46,103.5
female,42,< 20000,57.1,155.1,23.74,
male,22,5000,81.3,185.8,23.55,77.9
female,33,75000,75.6,177.7,23.94,82
female,71,25000,60.6,151.2,26.51,95.5
female,24,0,114.5,155.5,47.35,135.6
male,32,100000,98.5,171.7,33.41,105.9
female,59,15000,81.4,167.7,28.94,101.8
male,19,75000,96.2,178.6,30.16,89.7
male,54,25000,91.6,176.2,29.5,107.5
male,50,20000,141.7,183.9,41.9,136.5
female,44,75000,93.4,159.6,36.67,108.6
female,31,45000,88.2,160.5,34.24,
female,50,25000,73.7,149.1,33.15,99.2
female,29,10000,114.9,158,46.03,
male,64,100000,102.9,185.2,30,115.5
male,45,25000,82.4,170.7,28.28,101
female,22,5000,58.6,167,21.01,76.5
male,67,15000,107.2,178.3,33.72,112.4
male,30,10000,88.2,179.4,27.4,90.8
male,47,20000,93.8,171.3,31.97,112.4
male,30,100000,79.1,170,27.37,94.6
female,34,25000,101.9,171.9,34.48,114.7
male,80,15000,68.8,159.5,27.04,96.5
male,53,100000,65.4,166.7,23.53,81.7
male,32,35000,94.2,178.3,29.63,100.4
female,32,45000,77.9,154.5,32.63,104.9
female,18,10000,51.7,160.1,20.17,73.7
female,39,15000,90.7,150.3,40.15,112.7
female,17,100000,58.3,168.3,20.58,74
female,72,5000,115.1,158.3,45.93,138.7
female,73,65000,71.7,161.2,27.59,102.5
male,14,75000,51.4,170.4,17.7,68.5
female,42,35000,96.5,167.4,34.44,120
female,60,20000,51.4,156.9,20.88,72.5
female,57,45000,135.3,165.9,49.16,138
male,76,65000,91.4,186.7,26.22,108.1
female,80,15000,44.3,158.3,17.68,76.4
female,79,35000,53.7,159.1,21.21,
female,15,35000,63.9,154,26.94,83.7
male,31,35000,78.3,166.6,28.21,98.6
male,32,35000,86.5,182.1,26.09,84.9
male,46,0,81.9,180.6,25.11,96.9
female,25,35000,57.6,159.5,22.64,77.9
male,30,35000,68.9,169.7,23.93,83
female,80,10000,76.6,151.7,33.29,
female,54,0,74.3,158.4,29.61,92.4
female,59,20000,91.1,163.2,34.2,116.1
female,48,100000,116.3,171.2,39.68,126.2
male,44,75000,96.3,184,28.44,102.5
female,40,45000,72.4,154.2,30.45,92.4
female,14,,57.8,153.3,24.59,82.8
male,53,10000,117.3,179.3,36.49,122.7
male,80,45000,75.2,176.6,24.11,94.6
female,14,25000,52.7,162.7,19.91,74.6
female,63,10000,94.6,159.2,37.33,119.6
female,80,25000,51.1,148.1,23.3,
male,29,0,71.7,164.1,26.63,92.5
female,67,25000,68,160.5,26.4,
female,69,0,53.2,150.9,23.36,
female,65,100000,76.9,165.6,28.04,103.3
female,26,75000,55.9,152.3,24.1,76.6
male,71,25000,89.7,184.7,26.29,108.4
female,39,65000,53,157.2,21.45,77.5
male,42,20000,84.5,181.5,25.65,95.1
female,20,75000,60,161.7,22.95,86.3
male,46,35000,129.2,173.4,42.97,134.4
female,80,35000,81.4,162.6,30.79,100.6
male,42,75000,92.5,194.3,24.5,99.3
female,61,20000,75.4,165.5,27.53,89.4
male,29,5000,91.7,185.3,26.71,93.6
male,42,75000,78.8,181.7,23.87,84.9
female,23,10000,47.9,159.6,18.8,67.9
female,21,5000,52.2,173.6,17.32,76
female,45,15000,91.5,169.4,31.89,106.9
male,59,35000,72.5,168.2,25.63,97.4
male,78,20000,86.4,170.1,29.86,115.1
male,58,10000,94.9,185.1,27.7,102
female,76,35000,95.2,164.9,35.01,103
female,80,55000,65,155.8,26.78,95.5
male,60,15000,89.5,172.9,29.94,113.5
male,61,65000,100.7,185.9,29.14,100.6
male,74,10000,102.8,167.7,36.55,128.5
female,32,35000,52.9,156.6,21.57,80.5
male,67,75000,77.5,177.3,24.65,97.8
male,74,20000,92.5,189.1,25.87,102.9
female,74,15000,89.6,149.4,40.14,114.1
male,68,5000,48.5,166.6,17.47,73.7
male,18,75000,60.9,180.1,18.78,72.4
female,43,100000,58.1,158,23.27,80.6
male,68,10000,88.3,168,31.29,110.9
male,65,15000,128.3,187.8,36.38,124
male,46,55000,98.3,177.2,31.31,108.9
female,51,10000,70,165.9,25.43,87.9
male,17,100000,90.3,175.1,29.45,108.6
male,67,75000,66.7,167.4,23.8,95.7
female,28,35000,53.2,164.2,19.73,72.6
male,56,65000,81.3,173.4,27.04,95
female,46,35000,81.4,163.6,30.41,103.3
male,21,35000,60.8,162.1,23.14,79
male,40,100000,89,180.9,27.2,97.8
male,43,5000,94.3,177.4,29.96,101.1
female,79,< 20000,94.4,165.7,34.38,116.1
female,30,45000,61.5,155.3,25.5,79.3
female,64,25000,97.1,154.9,40.47,132.7
female,50,20000,88.6,158,35.49,116.7
male,36,,96.6,174.8,31.62,108.2
male,22,0,88.6,184.4,26.06,85.5
female,18,10000,60.9,157.1,24.68,81
female,56,25000,113.5,172.2,38.28,129
female,40,35000,145.4,161.2,55.95,137.7
male,61,45000,84.3,169.6,29.31,98.5
female,16,15000,108,171.1,36.89,117.9
male,24,15000,87.9,170.1,30.38,102.2
male,20,100000,74.2,175.7,24.04,75.7
male,78,35000,104.7,179.3,32.57,122.3
female,18,15000,67.5,156.8,27.45,91.3
male,80,45000,78.4,174.2,25.84,106.5
male,50,15000,90.6,162.8,34.18,104
female,34,0,132.7,166.5,47.87,
male,27,,78.3,175.7,25.36,85.5
male,64,,75.1,168.6,26.42,102.7
male,13,35000,41.7,147.6,19.14,66.7
female,28,5000,54,151,23.68,88.2
female,48,100000,52.8,159.1,20.86,70.8
male,62,25000,72.1,176.5,23.14,92.7
male,55,65000,93.6,177.1,29.84,
male,34,25000,99.4,178.9,31.06,106.8
male,65,15000,71.4,160.6,27.68,94.5
female,42,10000,116.8,160.3,45.45,125
male,56,35000,101.4,170.4,34.92,115.7
male,15,15000,54.1,161.8,20.67,71.9
male,24,10000,67,172.4,22.54,80.8
female,65,35000,61.4,149,27.66,91.7
female,49,10000,66.1,177.9,20.89,89.9
male,18,45000,67.5,172.4,22.71,83.5
male,19,0,76.8,182.6,23.03,87.1
male,12,10000,38.4,144.8,18.31,62.2
male,76,,94.2,169.1,32.94,116.9
male,68,25000,86.5,161,33.37,114.7
male,78,75000,92.5,170.7,31.74,115.2
male,22,20000,69.7,176.1,22.48,
female,64,75000,40.8,147.6,18.73,62.4
female,50,100000,61.1,165.5,22.31,78.8
female,33,20000,77.7,179.6,24.09,
male,26,10000,92.6,165.8,33.69,108.1
male,41,100000,72.2,169.9,25.01,83.6
male,40,20000,76.3,174.2,25.14,97.1
female,35,20000,64.2,157.6,25.85,90.5
male,72,5000,79.1,159.8,30.98,109.1
female,78,20000,78.2,161,30.17,100.8
male,32,,104.8,179.7,32.45,109.2
female,20,< 20000,52.9,149.8,23.57,80.8
male,49,35000,62.2,153.2,26.5,98
female,31,,61.2,148.1,27.9,96.2
male,15,20000,126,171.4,42.89,126
male,14,25000,51.8,163.3,19.42,67.3
male,18,25000,102.9,169.5,35.82,105.5
female,73,10000,59.9,162.8,22.6,85.3
male,19,25000,69.1,179.1,21.54,79
male,54,,64.6,161.9,24.65,87.6
female,45,75000,73.6,166.3,26.61,90.4
female,17,45000,85.6,166.9,30.73,100.8
female,36,15000,77.4,159.7,30.35,100
male,14,45000,69.2,166.2,25.05,82.2
male,73,35000,51.5,148,23.51,81.3
male,62,35000,68.1,173.6,22.6,89.5
male,12,25000,34.5,145.6,16.27,62.8
male,69,25000,104.1,170.8,35.68,122
male,70,,105.9,174.1,34.94,120.4
female,58,10000,44.1,155.7,18.19,69.1
male,17,0,60.4,164.6,22.29,72.6
female,22,10000,107.1,168.9,37.54,116.6
female,80,20000,77,159.1,30.42,96.2
female,39,100000,65.9,173.5,21.89,92.6
female,42,20000,52.1,161.3,20.02,77.5
male,27,10000,99.4,183.4,29.55,99.7
male,57,20000,103.3,189.2,28.86,103.1
male,14,75000,88.9,162.3,33.75,103.4
male,57,75000,78.5,162.3,29.8,98.8
female,33,15000,136.5,171,46.68,141.5
male,23,20000,97.2,171.4,33.09,112
male,24,15000,79.3,178.1,25,88
male,33,25000,90.3,181.5,27.41,92.2
male,80,55000,103.1,162.9,38.85,120
male,61,100000,92.8,175,30.3,107
female,66,25000,79.9,160.2,31.13,104.8
male,65,,49.5,159.1,19.56,80.3
female,30,25000,87.7,164.3,32.49,93.1
female,13,45000,61.2,160.5,23.76,86.9
female,49,75000,50.8,166.4,18.35,72.5
male,79,35000,118.9,169,41.63,129.4
female,48,55000,61.9,175.7,20.05,75.6
female,56,55000,49.4,164,18.37,71.2
female,32,75000,79,172,26.7,91.2
male,49,35000,111.9,190.7,30.77,117
male,70,75000,70.6,167.9,25.04,
male,20,100000,90.5,185.4,26.33,91.2
female,18,100000,64.7,168.7,22.73,82.4
male,13,75000,59.6,165.3,21.81,74.4
female,29,55000,99.3,161.2,38.21,111.2
female,39,100000,121.7,167.3,43.48,118
female,51,25000,76.3,151,33.46,98.5
male,55,100000,104.5,179,32.61,110.7
male,80,25000,74.4,163,28,103.9
female,27,75000,86,159.5,33.8,
male,22,10000,100.1,171.6,33.99,118.1
male,34,25000,90.2,164.6,33.29,102.3
male,80,25000,74.8,160.5,29.04,101.3
male,28,,63.4,166.5,22.87,77
male,61,100000,122.3,186.7,35.09,118.8
male,15,55000,66,168.7,23.19,72.2
female,40,20000,51.6,153.8,21.81,68.4
male,49,35000,92.7,173.1,30.94,105.2
female,80,25000,51.5,163.2,19.34,68.6
female,27,75000,66.8,165.7,24.33,81.5
male,31,75000,89.7,172.7,30.08,100.2
male,65,25000,105.4,177.6,33.42,122.8
male,49,25000,77.4,168.2,27.36,96.6
male,26,25000,146.9,178.2,46.26,139.5
male,25,45000,78,180.1,24.05,87.5
female,56,45000,82.5,169.1,28.85,99.8
female,38,10000,105.1,156.8,42.75,128.4
female,13,45000,46,155.3,19.07,68.8
male,49,,84.6,181,25.82,93.6
female,29,0,85.1,164.3,31.52,107
female,54,< 20000,73.1,149.1,32.88,107
male,47,100000,73.7,170.5,25.35,89.4
female,54,35000,74.9,156.6,30.54,96.4
male,62,20000,83,175.3,27.01,101.3
female,26,,55.9,155.7,23.06,79.2
male,35,100000,108.4,186.3,31.23,107.4
male,54,25000,61.4,157.5,24.75,85.5
female,44,,67.3,158.3,26.86,92.6
male,16,100000,82.3,183.9,24.34,82.1
female,72,35000,51.7,164.4,19.13,72
male,14,100000,36.3,156.2,14.88,64.6
male,79,35000,70.7,163.4,26.48,105.4
male,23,100000,104.5,186.4,30.08,105
male,19,75000,75.2,183,22.46,80.5
male,51,25000,176.2,182.8,52.73,154.1
female,12,25000,72,164,26.77,98.7
female,57,100000,96.5,161.7,36.91,111.3
female,18,75000,64.6,153.9,27.27,81.6
male,47,65000,67.9,186.8,19.46,81.1
female,80,35000,79.8,139.9,40.77,97.1
female,41,25000,77.7,165.3,28.44,98.7
female,78,20000,62.8,153.4,26.69,91
male,42,45000,115,176,37.13,127
female,41,100000,77.7,176.6,24.91,83.6
female,20,25000,74.9,164.3,27.75,90.6
female,61,55000,109.5,169.3,38.2,127.7
male,29,75000,73,187,20.88,83.3
male,20,100000,119.6,175.4,38.88,130
female,19,25000,45.3,163.7,16.9,63.1
female,65,100000,92.5,157.9,37.1,107
male,77,45000,69.3,173.6,23,88.7
male,31,10000,86.8,174.8,28.41,90.1
male,31,100000,106,190.4,29.24,96.5
male,74,55000,101.7,187.6,28.9,114.4
female,60,100000,51.4,151.6,22.36,80.2
female,65,100000,63,173.5,20.93,87.3
female,57,55000,60.7,176.2,19.55,
male,18,35000,57,152,24.67,85.4
female,49,20000,84.9,159.3,33.46,97.5
female,19,100000,54.6,166.6,19.67,71.8
male,61,55000,78.3,179.9,24.19,93
male,80,45000,83.1,158.2,33.2,110.7
male,16,25000,54.4,166.3,19.67,70.2
male,50,100000,90.8,183.1,27.08,
female,51,20000,102.9,167.7,36.59,109.5
female,64,75000,58.8,166.8,21.13,86.4
female,69,25000,89,162.7,33.62,108
male,38,< 20000,71.9,166.1,26.06,90
male,29,35000,109.6,172.6,36.79,111.6
female,16,,53.8,162.6,20.35,74.7
female,27,20000,71.6,159.3,28.22,87
male,40,25000,86.2,172,29.14,102
female,17,65000,69.3,160.5,26.9,81.1
female,39,20000,68.4,174.2,22.54,84.9
male,59,55000,94.3,179.7,29.2,100.2
male,13,25000,59,168,20.9,72.7
female,45,5000,47.9,147.4,22.05,78.5
male,57,10000,57.3,171.2,19.55,76.9
male,49,10000,71.5,167.9,25.36,91.5
male,17,100000,61.6,179.4,19.14,71.5
female,74,55000,64.8,154.7,27.08,89
female,26,20000,95.9,167.3,34.26,105
female,74,20000,63.4,164.5,23.43,82.5
male,26,25000,67.2,172.1,22.69,82
female,27,35000,68.3,163.1,25.68,86.5
female,61,10000,62.2,152,26.92,80.2
female,62,5000,81.2,165.9,29.5,105.5
female,39,35000,54.1,155.7,22.32,83.5
female,53,75000,66.5,163,25.03,92.3
female,18,55000,60.8,165.8,22.12,84.3
female,33,25000,104.5,156.2,42.83,116.6
female,30,20000,154.5,168.3,54.55,155
male,28,65000,112,181.3,34.07,115.5
male,35,25000,79.5,170.7,27.28,98.9
female,80,45000,65.5,151.7,28.46,93.2
female,20,20000,91.4,161,35.26,119.5
female,52,15000,82.7,151.4,36.08,116
male,61,20000,90.4,177.8,28.6,104.6
male,41,25000,64,174.7,20.97,76.5
male,45,15000,69.3,187.4,19.73,76.5
male,33,65000,91.7,174.4,30.15,98
male,13,15000,43.9,168.1,15.54,61.8
male,17,15000,107.9,177.1,34.4,114.4
male,69,20000,113.1,172.9,37.83,130.6
female,14,10000,58.7,160,22.93,86.9
female,14,25000,110.3,161.6,42.24,111
male,68,100000,114.5,181.7,34.68,129.1
female,14,45000,47.9,155.8,19.73,65.6
male,22,25000,72.1,169.8,25.01,83.9
male,57,75000,83.9,184.7,24.59,93.4
female,66,20000,64.8,159.8,25.38,85
female,31,20000,100.1,161,38.62,111.3
male,80,45000,92.5,166.8,33.25,112.8
female,45,0,57.2,156.2,23.44,80.4
female,26,45000,70.6,161.1,27.2,90
female,72,20000,73.2,150.2,32.45,
female,19,5000,98.7,170.5,33.95,114.4
female,23,100000,63.7,162.3,24.18,76.8
female,22,10000,77.8,153,33.24,93
female,67,65000,77.3,157.1,31.32,108
female,70,10000,85.7,155.1,35.63,115
male,30,55000,78.8,173.7,26.12,97.4
female,80,10000,68.7,154.9,28.63,95.8
female,57,25000,101.3,159.9,39.62,117.1
female,59,100000,62.3,156.6,25.4,95.5
female,39,10000,76.5,143.1,37.36,106.2
male,22,0,71.1,190.9,19.51,77
female,14,15000,63.3,168.5,22.29,86.7
male,24,,79.2,161.6,30.33,99.2
male,59,35000,110.3,171.4,37.55,118.4
male,23,0,72.1,184.2,21.25,83.1
male,18,25000,64.5,163.5,24.13,77.5
female,63,75000,120,168.9,42.07,137.2
female,17,5000,57.8,159.3,22.78,80.2
female,50,25000,108.2,162.6,40.92,120.1
female,64,65000,73.7,164,27.4,96.5
male,66,25000,69.6,169,24.37,95.7
female,32,,67,165,24.61,90.5
female,30,35000,51.6,152,22.33,81.4
male,77,65000,79.8,170.7,27.39,106.6
female,59,20000,57.7,150.9,25.34,92
male,80,,80.6,176.8,25.79,105.4
male,13,25000,60.5,147.2,27.92,93.2
female,66,15000,73,164.6,26.94,102.2
female,44,20000,62.6,154.3,26.29,84.8
male,42,45000,85.3,169.1,29.83,94.5
male,56,15000,98.5,164.9,36.22,120.4
female,69,5000,68.6,157.9,27.51,103.2
female,34,75000,73.9,169.9,25.6,92.3
female,61,100000,53,149.3,23.78,83
male,43,10000,93.6,184.7,27.44,98.4
male,39,55000,140.6,184.8,41.17,129.2
female,37,100000,70.6,156.9,28.68,84.4
female,24,25000,81.6,158.1,32.65,106
female,39,100000,82.9,172,28.02,96
female,40,55000,52.2,156.1,21.42,
female,16,75000,57.6,170.5,19.81,71.2
male,62,25000,98.5,182.8,29.48,108.1
male,71,45000,76.9,171.7,26.08,92
female,64,15000,127.3,153.7,53.89,137.5
female,29,5000,73.2,165.2,26.82,87.5
male,40,,84.6,174.1,27.91,101.6
male,12,25000,56.7,146.8,26.31,88.6
male,57,65000,93.8,176.7,30.04,108
male,33,75000,85.7,175.5,27.82,99.9
male,68,15000,69.1,160.3,26.89,92.2
male,46,35000,137.9,191.8,37.49,127.3
male,31,20000,87.4,175.3,28.44,89.6
female,32,25000,68,159.1,26.86,88.2
female,29,15000,41.4,163.5,15.49,64.8
female,56,100000,65.4,168.3,23.09,87.2
female,25,0,48.9,157.8,19.64,71.8
male,49,25000,83.5,174.3,27.48,
female,58,55000,68.5,148,31.27,101.8
female,14,75000,63.6,168.1,22.51,77.1
male,53,0,89.6,180.7,27.44,103
male,38,< 20000,171.4,182.5,51.46,155.7
female,58,25000,86.3,164.2,32.01,92.5
male,72,75000,94.3,177.4,29.96,113
male,69,35000,127.4,172.6,42.76,136.6
female,49,25000,63.9,150.9,28.06,96.6
female,38,100000,83.1,175.4,27.01,96.9
male,35,55000,107,187.5,30.44,110.4
female,31,35000,114.3,166.4,41.28,133.5
male,13,0,44,153.3,18.72,62.7
female,13,35000,64.9,156.5,26.5,
female,15,45000,43.2,159.2,17.05,68.5
male,31,< 20000,101.2,178.5,31.76,113.1
female,56,75000,68.1,163,25.63,90.7
male,16,100000,42.6,171.1,14.55,67.6
male,48,100000,88.7,173.5,29.47,108.5
male,73,65000,137.8,181.8,41.69,142
male,67,75000,80.4,169.4,28.02,101.2
female,15,15000,56.4,171.8,19.11,72
male,77,15000,70.8,163.9,26.36,96.7
male,77,55000,72.6,180.2,22.36,91.3
male,80,100000,92.4,175.6,29.97,118.1
male,44,10000,96.9,171.5,32.95,124.6
female,22,15000,40.4,159.9,15.8,69.8
male,54,25000,88.7,178.8,27.75,106.1
female,77,20000,73.1,160,28.55,102
female,22,100000,62.9,172.7,21.09,76
female,47,,59,151.4,25.74,84.2
female,60,10000,66.3,141.5,33.11,100
male,37,20000,76.4,177.4,24.28,92.3
male,12,75000,62.3,160.7,24.12,83.1
male,62,100000,93.1,170.5,32.03,109.4
male,45,25000,95.4,171.6,32.4,114.6
male,58,0,99.7,181.1,30.4,111.6
male,57,100000,104,180,32.1,111
male,80,20000,99.4,167.4,35.47,124.9
male,53,10000,73.1,161.2,28.13,94.6
female,68,25000,63.4,149.8,28.25,89.4
female,46,25000,70.3,165.2,25.76,83.8
male,35,10000,82.1,177.5,26.06,96.9
male,53,100000,106,197.5,27.18,115.7
female,54,5000,91.6,165.1,33.6,118.5
male,18,20000,125.9,167.9,44.66,136.6
male,58,55000,84.2,171.6,28.59,99.3
male,62,65000,83.7,176.6,26.84,94.3
male,23,15000,65.5,163.8,24.41,73.6
male,16,35000,97.9,179.8,30.28,113.3
female,21,20000,88,161.6,33.7,108.5
female,32,25000,82.7,160.2,32.22,104.1
female,80,25000,68.7,150.9,30.17,108.5
male,40,,92.4,172.3,31.12,93.1
female,44,100000,86.3,162.2,32.8,103.6
female,54,55000,82.7,167.5,29.48,107.3
female,13,45000,65.2,164.8,24.01,83.6
female,64,25000,65.6,163.7,24.48,84
female,26,10000,67.3,163.5,25.18,80.2
male,26,75000,82.7,185.3,24.09,86.3
female,38,55000,72.4,171.4,24.64,85.3
female,55,45000,67.8,148.3,30.83,99
male,25,75000,97,171.2,33.1,103
female,57,15000,75.3,154.7,31.46,99.8
female,50,25000,201,172.3,67.71,
male,19,25000,65.4,170.7,22.44,81.5
female,47,25000,53.3,156.7,21.71,87.5
male,47,25000,77.3,178.7,24.21,90.4
male,43,100000,78.9,181.2,24.03,90.5
female,57,75000,91.5,169.8,31.74,112.5
male,26,5000,81.7,177.8,25.84,85.5
male,77,15000,127.5,181.6,38.66,137.1
male,24,15000,99.1,190.7,27.25,101.2
female,56,75000,80.1,157.7,32.21,109.2
female,63,45000,75.3,166.1,27.29,97.5
female,71,35000,66.3,152.5,28.51,98.1
male,73,45000,63.9,168.2,22.59,89.9
male,47,45000,79.9,169.5,27.81,102.5
male,63,75000,104.9,186.4,30.19,117.3
male,72,35000,78.4,175.3,25.51,93.7
male,41,10000,115.9,188.5,32.62,121.7
female,30,25000,53.5,159,21.16,74.8
male,50,10000,66.6,165.4,24.34,93.7
female,47,< 20000,45,141.1,22.6,80.2
female,29,,54.6,147.4,25.13,87.5
female,54,45000,71.9,165.3,26.31,103.7
male,19,100000,59.6,170.7,20.45,72
male,43,20000,73.1,166.7,26.31,88.5
male,46,10000,55.4,173,18.51,76.3
female,24,5000,66,165.4,24.13,88.4
male,25,20000,72,170.9,24.65,94.7
male,48,20000,86.2,167.8,30.61,101.3
female,61,75000,81.8,168,28.98,99.3
male,71,10000,96.6,177.6,30.63,114.6
female,43,15000,94.8,151.7,41.19,115.5
male,57,75000,100.5,178.4,31.58,107.7
male,80,75000,69,165,25.34,
male,61,55000,87.7,176.6,28.12,105.6
male,43,10000,80.9,167.1,28.97,96.8
female,46,10000,66.2,169.4,23.07,85.4
male,61,100000,66.3,173.6,22,81.4
female,67,45000,50.6,153.4,21.5,73.2
female,70,5000,46.2,148.6,20.92,85
male,17,35000,80.4,182.2,24.22,84
female,75,35000,52.5,142.1,26,90.8
female,14,,45.2,151.9,19.59,70.9
male,19,35000,81.2,178.6,25.46,92.7
male,52,75000,83.7,176.4,26.9,96.9
male,29,100000,99.2,173,33.15,110.8
female,16,10000,69.9,166.9,25.09,80.1
male,15,15000,120.4,176.4,38.69,113
male,59,5000,115.7,186.3,33.34,133.2
male,13,0,40.4,150.3,17.88,66.2
male,38,100000,90.1,167.9,31.96,101.4
male,48,,95.7,173.1,31.94,104
female,67,100000,84.2,156,34.6,103.6
male,50,100000,72.1,184,21.3,84.3
female,49,55000,60.3,166.8,21.67,84.2
male,41,100000,79.8,184.7,23.39,85.9
male,36,75000,184.3,176.6,59.09,
female,43,25000,117.4,162.1,44.68,126
male,77,45000,66.7,171,22.81,91.6
male,80,25000,81.5,164,30.3,
female,42,5000,105.6,156.9,42.9,120.1
